epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,4732.73,1.00678,0.59503,0.8989,0.91454,0.87364,0.92002,0.65409,1.16348,0.56405,0.98893,0.000133009,0.000133009,0.000133009
43,4865.87,1.00035,0.59723,0.90171,0.94995,0.84427,0.93562,0.66557,1.13559,0.54757,0.95853,0.000129668,0.000129668,0.000129668
44,4989.65,0.96608,0.5731,0.89105,0.92093,0.87913,0.94047,0.67408,1.12032,0.55285,0.95948,0.000126326,0.000126326,0.000126326
45,5113.05,0.98754,0.58408,0.89838,0.92253,0.89137,0.94651,0.67498,1.12747,0.54455,0.96111,0.000122985,0.000122985,0.000122985
46,5252.97,0.97182,0.57192,0.8972,0.9014,0.88661,0.94061,0.66783,1.12836,0.53827,0.96571,0.000119644,0.000119644,0.000119644
47,5375.21,0.95437,0.55236,0.88969,0.94842,0.86485,0.94071,0.67677,1.10879,0.53809,0.9568,0.000116303,0.000116303,0.000116303
48,5506.6,0.94813,0.56088,0.88491,0.93727,0.86626,0.94568,0.68346,1.09381,0.54556,0.95132,0.000112961,0.000112961,0.000112961
49,5627.2,0.93464,0.56372,0.88934,0.95153,0.8625,0.94524,0.67952,1.14796,0.53812,0.98035,0.00010962,0.00010962,0.00010962
50,5764.63,0.94023,0.55168,0.89087,0.94308,0.85367,0.9466,0.6873,1.14244,0.53834,0.98553,0.000106279,0.000106279,0.000106279
51,5899.94,0.9506,0.57032,0.88496,0.94441,0.88288,0.94542,0.68705,1.10268,0.53319,0.95464,0.000102938,0.000102938,0.000102938
52,6030.01,0.92283,0.54963,0.88667,0.92946,0.88921,0.94839,0.68398,1.10921,0.52384,0.96699,9.95963e-05,9.95963e-05,9.95963e-05
53,6118.09,0.93539,0.55333,0.88216,0.95256,0.86355,0.94766,0.69207,1.1104,0.52966,0.97012,9.6255e-05,9.6255e-05,9.6255e-05
54,6219.27,0.89805,0.52587,0.87726,0.95089,0.86206,0.95023,0.684,1.11344,0.51974,0.96859,9.29138e-05,9.29138e-05,9.29138e-05
55,6312.27,0.91074,0.53958,0.87894,0.94418,0.87909,0.94951,0.68672,1.1047,0.51992,0.96312,8.95725e-05,8.95725e-05,8.95725e-05
56,6431.51,0.90293,0.52545,0.87803,0.93423,0.88674,0.94902,0.69073,1.09356,0.5175,0.95203,8.62313e-05,8.62313e-05,8.62313e-05
57,6548.84,0.88248,0.51243,0.87852,0.94566,0.87443,0.95075,0.69498,1.07481,0.51291,0.95898,8.289e-05,8.289e-05,8.289e-05
58,6669.85,0.88239,0.52059,0.87414,0.95445,0.87326,0.95294,0.69139,1.08147,0.50749,0.96719,7.95487e-05,7.95487e-05,7.95487e-05
59,6792.58,0.88586,0.51051,0.87864,0.95149,0.8743,0.95124,0.68866,1.08772,0.51495,0.96822,7.62075e-05,7.62075e-05,7.62075e-05
60,6900.12,0.90058,0.53541,0.87503,0.95212,0.87492,0.94987,0.68971,1.11465,0.52751,0.98177,7.28662e-05,7.28662e-05,7.28662e-05
61,7024.02,0.88752,0.52376,0.87302,0.94785,0.87833,0.95107,0.69577,1.07819,0.51162,0.95684,6.9525e-05,6.9525e-05,6.9525e-05
62,7135.91,0.88005,0.51462,0.86962,0.94936,0.87728,0.95023,0.69071,1.07776,0.51048,0.95369,6.61838e-05,6.61838e-05,6.61838e-05
63,7255.42,0.88153,0.51857,0.87218,0.9429,0.88663,0.9497,0.69448,1.07788,0.50589,0.96025,6.28425e-05,6.28425e-05,6.28425e-05
64,7382.57,0.86626,0.50898,0.87262,0.9363,0.892,0.95041,0.69295,1.07666,0.50777,0.96591,5.95013e-05,5.95013e-05,5.95013e-05
65,7508.92,0.87022,0.5209,0.8656,0.95406,0.88376,0.95342,0.69648,1.09109,0.50371,0.97057,5.616e-05,5.616e-05,5.616e-05
66,7599.7,0.8442,0.49686,0.86554,0.93258,0.88895,0.9517,0.70321,1.06239,0.49947,0.9645,5.28187e-05,5.28187e-05,5.28187e-05
67,7717.37,0.86603,0.51107,0.86882,0.94933,0.88745,0.95596,0.70122,1.05554,0.50004,0.95567,4.94775e-05,4.94775e-05,4.94775e-05
68,7861.17,0.83437,0.48902,0.8629,0.94084,0.89086,0.95508,0.70533,1.05958,0.49893,0.95628,4.61362e-05,4.61362e-05,4.61362e-05
69,8000.29,0.84089,0.49446,0.86372,0.95036,0.88256,0.95712,0.70727,1.05432,0.49445,0.95761,4.2795e-05,4.2795e-05,4.2795e-05
70,8104.64,0.8428,0.509,0.8647,0.94731,0.89081,0.95664,0.70805,1.05444,0.49523,0.95481,3.94537e-05,3.94537e-05,3.94537e-05
71,8251.34,0.84013,0.46735,0.87424,0.95798,0.87051,0.94943,0.70443,1.0698,0.51068,0.9759,3.61125e-05,3.61125e-05,3.61125e-05
72,8331.85,0.80594,0.44518,0.86761,0.96154,0.87896,0.95026,0.70092,1.06433,0.50446,0.967,3.27713e-05,3.27713e-05,3.27713e-05
73,8438.87,0.8079,0.44943,0.86543,0.94692,0.89457,0.95009,0.70506,1.06064,0.49971,0.96956,2.943e-05,2.943e-05,2.943e-05
74,8498.81,0.79433,0.45169,0.863,0.94824,0.89397,0.95144,0.7068,1.05286,0.49534,0.96266,2.60888e-05,2.60888e-05,2.60888e-05
75,8555.19,0.78978,0.44385,0.86526,0.95409,0.88594,0.95146,0.70726,1.04753,0.49576,0.95968,2.27475e-05,2.27475e-05,2.27475e-05
76,8622.28,0.78109,0.43778,0.86092,0.95222,0.89039,0.95391,0.7097,1.03286,0.494,0.94877,1.94062e-05,1.94062e-05,1.94062e-05
77,8733.49,0.7695,0.43132,0.85908,0.95889,0.8823,0.95511,0.71045,1.04148,0.49412,0.95673,1.6065e-05,1.6065e-05,1.6065e-05
78,8791.08,0.77081,0.42945,0.85967,0.95435,0.88865,0.9554,0.71173,1.04249,0.49434,0.96008,1.27237e-05,1.27237e-05,1.27237e-05
79,8903.14,0.76757,0.42647,0.85849,0.95333,0.89072,0.95494,0.71018,1.04124,0.49121,0.9616,9.3825e-06,9.3825e-06,9.3825e-06
80,8973.15,0.75795,0.42392,0.85467,0.95397,0.89208,0.95505,0.71067,1.03994,0.49122,0.96085,6.04125e-06,6.04125e-06,6.04125e-06
